FF,MET_AD,BF,HFF,BFMAT,Improved_MS
103449366,106218523,99273637,103779650,103229788,31588118
10967653,11472199,11014975,10965677,11013502,11831111
1009713358,1024352124,997795071,1008039497,1039359608,144099287
151689732,153799614,150501122,151736331,155928555,38368648
25588609,24187870,26259768,25263107,28101418,4971348
391780718,377645827,386235715,389074080,539164566,32076448
35730209,36954132,36762079,35447239,42291667,9551573
8322144600,8285235300,8377522800,8340712500,8650544700,1044801666
343230269,347036017,342865012,343460586,344375166,61763785
163653090,166538660,161748305,164429489,204975372,32275027
853339585,977014820,1033571374,849843395,2675361983,123322521
284144664,286328872,309531268,284252977,457126477,44055514
