FF,MET_AD,BF,HFF,BFMAT,Improved_MS_Varaince_LOW,Improved_MS_Varaince_HIGH
60431693,65551120,61006589,60435851,69017301,31606358,31906375
15653450,16882379,15635090,15662988,15861074,13665029,13443423
823940542,840729757,801054665,823725446,905826495,192951685,130220121
184723587,192201577,183185485,184723608,204642370,49988918,51801495
47500248,41723397,47292591,47511914,51426695,1587165,1587165
230830354,215024809,224109321,229901583,296751229,18226498,10931957
20051085,23020991,20051085,20051092,22943704,10101718,8368870
5217405300,5182453500,5223122100,5217405300,5317621200,321366238,274240808
375672685,380261953,365889029,375672686,384860551,95538951,72307152
123719672,128655018,130154184,123720891,185298919,29632011,21340805
964593178,1062097051,1112925241,964701132,2796608856,113384095,106113097
310534082,307546155,325760878,310531715,500926608,34812464,28401197
